pack_item_id,item_title,item_type,source_path,sha256,registered,register_status,claims_served,ship_flag,hold_reason,render_currency,caption_exists,notes
(unlisted) AUD1-0025,,raster,Input/landsat_landcover/level3/LLC3_1998_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0026,,raster,Input/landsat_landcover/level3/LLC3_1999_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0027,,raster,Input/landsat_landcover/level3/LLC3_2000_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0028,,raster,Input/landsat_landcover/level3/LLC3_2001_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0029,,raster,Input/landsat_landcover/level3/LLC3_2002_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0030,,raster,Input/landsat_landcover/level3/LLC3_2003_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0031,,raster,Input/landsat_landcover/level3/LLC3_2004_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0032,,raster,Input/landsat_landcover/level3/LLC3_2005_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0033,,raster,Input/landsat_landcover/level3/LLC3_2006_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0034,,raster,Input/landsat_landcover/level3/LLC3_2007_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0035,,raster,Input/landsat_landcover/level3/LLC3_2008_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0036,,raster,Input/landsat_landcover/level3/LLC3_2009_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0037,,raster,Input/landsat_landcover/level3/LLC3_2010_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0038,,raster,Input/landsat_landcover/level3/LLC3_2011_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0039,,raster,Input/landsat_landcover/level3/LLC3_2012_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0040,,raster,Input/landsat_landcover/level3/LLC3_2013_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0041,,raster,Input/landsat_landcover/level3/LLC3_2014_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0042,,raster,Input/landsat_landcover/level3/LLC3_2015_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0043,,raster,Input/landsat_landcover/level3/LLC3_2016_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0044,,raster,Input/landsat_landcover/level3/LLC3_2017_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0045,,raster,Input/landsat_landcover/level3/LLC3_2018_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0046,,raster,Input/landsat_landcover/level3/LLC3_2019_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0047,,raster,Input/landsat_landcover/level3/LLC3_2020_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0048,,raster,Input/landsat_landcover/level3/LLC3_2021_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0049,,raster,Input/landsat_landcover/level3/LLC3_2022_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0050,,raster,Input/landsat_landcover/level3/LLC3_2023_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0051,,raster,Input/landsat_landcover/level3/LLC3_2024_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0052,,raster,Input/landsat_landcover/level3/LLC3_2025_MGA54.tif,,1,,,HOLD,T12 DEA documented negative - CLAUDE.md forbids client deliverable,UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0097,,figure,Output/figures/S_veg_water_gam_p05.png,f7a39e0e66fdf6c2fba9c2597cde73730c0ee739d753f117eb425e351c19c356,1,,,HOLD,render-currency SUSPECT: floor_flood: rendered 2026-07-21T11:12:34Z < 2026-07-31T08:54:58Z - floor_flood slope/intercept re-registered at 6 dp on 31 Jul (0.547838 / 52.652934),SUSPECT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0098,,figure,Output/figures/S_veg_water_gam_p50.png,61dad0d0d55255578a7df43e560d1d2afdb61a71c86f125d3d3df22a3b427b97,1,,,HOLD,render-currency SUSPECT: floor_flood: rendered 2026-07-21T11:12:38Z < 2026-07-31T08:54:58Z - floor_flood slope/intercept re-registered at 6 dp on 31 Jul (0.547838 / 52.652934),SUSPECT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0099,,figure,Output/figures/S_veg_water_percentile_fan.png,2ec291ce42d0284e9b87b6f75afdb95715f433a5aba98b8f1669b8c1aabd87dc,1,,,HOLD,render-currency SUSPECT: floor_flood: rendered 2026-07-21T11:33:08Z < 2026-07-31T08:54:58Z - floor_flood slope/intercept re-registered at 6 dp on 31 Jul (0.547838 / 52.652934),SUSPECT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0100,,figure,Output/figures/S_veg_water_qband_p05.png,dca79a35c97b0d30f4f7aaa8cefd0d8ce810728976baeef7e7ec313ee2a49227,1,,,HOLD,render-currency SUSPECT: floor_flood: rendered 2026-07-21T11:14:30Z < 2026-07-31T08:54:58Z - floor_flood slope/intercept re-registered at 6 dp on 31 Jul (0.547838 / 52.652934),SUSPECT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0101,,figure,Output/figures/S_veg_water_qband_p50.png,969b88398b3560fcb8372e85669ad3dbd5871eba183e6018700d27afe9247677,1,,,HOLD,render-currency SUSPECT: floor_flood: rendered 2026-07-21T11:14:31Z < 2026-07-31T08:54:58Z - floor_flood slope/intercept re-registered at 6 dp on 31 Jul (0.547838 / 52.652934),SUSPECT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0188,,figure,Output/figures/diagnostics/T6_A_three_arm_deck.png,9d128118f371a10260f507cd317931e5ab23fc56257d642841c590c780693309,1,,,HOLD,"render-currency SUSPECT: three_arm: rendered 2026-07-27T09:50:29Z < 2026-07-28T00:00:00Z - three_arm_floor_deficit_{not_grazed,unzoned_inferred,unzoned_plot} changed 28 Jul (-4.8/4.3/5.9 -> -0.92/1.17/1.32",SUSPECT,Y,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0189,,figure,Output/figures/diagnostics/T6_B_three_arm_mean.png,ba39835e79e3c16da1c5ca0457a2c20529b669a79931f9c299316b173ab6b8db,1,,,HOLD,"render-currency SUSPECT: three_arm: rendered 2026-07-27T09:50:28Z < 2026-07-28T00:00:00Z - three_arm_floor_deficit_{not_grazed,unzoned_inferred,unzoned_plot} changed 28 Jul (-4.8/4.3/5.9 -> -0.92/1.17/1.32",SUSPECT,Y,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0333,,figure,Output/figures/task_U/U2_epoch_context_35yr.png,031df79470b5ce1a6f1a05f8c45f6996f2f0d59a85036be79ab522326d50142c,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,UNKNOWN,Y,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0451,,raster,Output/rasters/task_U/taskU_bb0_dem_2009_8058_50cm.tif,bb4dbbc4e7900af7820d582a99cb23fef049f507718799fc4bac7d39540c8ee8,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0452,,raster,Output/rasters/task_U/taskU_bb0_dem_2021_8058_50cm.tif,a184b462c8c6c3b8ca33a58e619e4e4649f34b8da0dced76a95b57b09a804c8a,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0453,,raster,Output/rasters/task_U/taskU_bb9_p05_height_2009_8058_5m.tif,a9497a6b1c3be866ca33763019f6599242a03860bb5afb86c07c745dfd6e3c91,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0454,,raster,Output/rasters/task_U/taskU_bb9_p05_height_2021_8058_5m.tif,1f2ba36aeba98e5f4670c9399cf24835eecc2b136bff99c56cbf069030ce1e55,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0455,,raster,Output/rasters/task_U/taskU_bba_p25_height_2009_8058_5m.tif,bf2923d5009c9b9c7822716594913b7f5969ddac857b9a062076362f5f43e8d4,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0456,,raster,Output/rasters/task_U/taskU_bba_p25_height_2021_8058_5m.tif,a9bf494b34d0c8ad2fd0c60afdd27ba462a7495510a539584f0be932cd6e099a,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0457,,raster,Output/rasters/task_U/taskU_bbb_p50_height_2009_8058_5m.tif,62f51c7a40c100ad20c249da737c1844ffb1bcfe5318733ead1bf0b28dc46f2d,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0458,,raster,Output/rasters/task_U/taskU_bbb_p50_height_2021_8058_5m.tif,b0ca815433272e1bd6eb5a23be93618ea6d462aa771739bb897c626f65244eab,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0459,,raster,Output/rasters/task_U/taskU_bbc_p75_height_2009_8058_5m.tif,b12642ebedace224d74d346f2c132deb90b2d461a08a8942a09fb0ce920d669d,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0460,,raster,Output/rasters/task_U/taskU_bbc_p75_height_2021_8058_5m.tif,003d54d587d3d83187320ab506eef29484087b557b2c87deeef1180d7821b303,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0461,,raster,Output/rasters/task_U/taskU_bbd_p95_height_2009_8058_5m.tif,e74892367e33cb3d0102662b720afee607af99af9cc342300a98747061aa4b8b,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0462,,raster,Output/rasters/task_U/taskU_bbd_p95_height_2021_8058_5m.tif,88fbae846285f218f159960337ab257b3ecec99722ecbcb0d54fe4985f25e276,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0463,,raster,Output/rasters/task_U/taskU_bbe_p99_height_2009_8058_5m.tif,3c536b3dfda99d7c4a957f7b3f8fc3061ad4b15aa19233a09d7597db3f56794a,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0464,,raster,Output/rasters/task_U/taskU_bbe_p99_height_2021_8058_5m.tif,d09ee88b63188f7bd8932da1c48e3d2381b508b6e7b13133aef7ebae1211f06e,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0465,,raster,Output/rasters/task_U/taskU_bbh_fpc_2009_8058_10m.tif,11969ecee6c789b8ab94a9ea030777f55320afb715d236026312cf49d9c92ca9,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0466,,raster,Output/rasters/task_U/taskU_bbh_fpc_2021_8058_10m.tif,db465c85dd75647b81ccfc4cdc1b86b476348502532e8a74c6d48e43461de799,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0467,,raster,Output/rasters/task_U/taskU_r2_excluded_2009_8058_5m.tif,f5360082339a064005c414802d5ddb4b1c1906f5869ffc2a85e8bd08250c7f29,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0468,,raster,Output/rasters/task_U/taskU_r2_excluded_2021_8058_5m.tif,0f01cedb9db13ca90a1e6cae7658b3bff43b3a7aa552aacf58a07628778d86f6,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0469,,raster,Output/rasters/task_U/taskU_seam_mask_2021_8058_10m.tif,a10d6f0ea8ba47c79ef5a8fd2f82c0905816d6067bcbdcb9bdb060583645dd2a,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0470,,raster,Output/rasters/task_U/taskU_seam_mask_2021_8058_5m.tif,2dcb74e0781c1e69fddbc9f347afb8429abea0f8422cc0df7222507c6c5c21ca,1,,,HOLD,PROVISIONAL: TaskU concurrent write inside audit window; qa_status=REVIEW,CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0471,,raster,Output/rasters/unzoned_components_8058/unzoned_components_8058.tif,029334907cc21e04946c6bcf57fd49dee803e10c4b996e1e3aaead97cdfddd27,1,,,HOLD,render-currency SUSPECT: pixel_area: rendered 2026-07-27T08:39:18Z < 2026-07-28T00:00:00Z - unzoned_inside_mapped_ha changed 28 Jul (12179.1 -> 12150.1; PIN5 pixel-area constant),SUSPECT,N,registered artefact not named by register v2 - candidate addition
"M4,F7","Country coming back and going backwards;Bala 29ca, part by part","map,figure",Output/figures/T13_D1_part_state_map_and_scatter.png,85502c156e81e825b0733db4d98a2f226c2c9498609da5badd30972c2f6472ef,1,"EXISTS,EXISTS","4,6,7,4,5",HOLD,"not named by register v3; candidate addition, not selected",CURRENT,Y,"ONE file serves TWO register items (M4 whole figure, F7 right panel)"
M3,Which country stays green,map,Output/figures/diagnostics/T2_B2_duration_map.png,8362c9d69c4da5ffee90e8c30f2b70b39d0cef5ee3fe453da63189ae0f44b995,1,SPECIFIED,3,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,Y,"register v2 marks this SPECIFIED, not EXISTS (needs T7 recolour) - not shippable as-is"
(unlisted) AUD1-0014,,other,D:/Github_repos/Murrumbidgee_Gauge_Workflow/Output/database/gayini_murrumbidgee_gauges.sqlite,,1,,,HOLD,"not named by register v3; candidate addition, not selected",UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0053,,other,Input/shapefiles.zip,,1,,,HOLD,"not named by register v3; candidate addition, not selected",UNKNOWN,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0054,,other,Output/census/gayini_pixel_census_8058.parquet,6b23f6c0803b69af12345b6818ae2cd453a67fc7ec694a880b3be3681246f966,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0055,,other,Output/census/gayini_pixel_zone_assignment.parquet,4b212d8fe5fc1cb36b95e9d9e4470449b63928bc7f7299241fa0d4ac29f34da6,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0056,,table,Output/census/summaries/census_community_flood_freq_means.csv,3914eaf7ca00a61b7ab1e61dbc63d780f7aeb1f99ebbea6adf5359558cae64f7,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0057,,table,Output/census/summaries/census_flood_zone_by_community.csv,8d73271ff4e2a64f8df3619a40cc68a04b8077da31953f3ac557dd34762cb549,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0058,,table,Output/census/summaries/census_percentile_by_community.csv,af475a2205d6a4456c6252db159bfeafcd03a0244cd38f68e638400f516fb9e2,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0059,,document,Output/diagnostics/check_curated_outputs/codex_handoff_report.md,d680795621ef34c2e1ed38518ff580825208ea153051023dfb5cfaa176e7032f,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0060,,document,Output/diagnostics/check_prepost_inundation_raster_outputs/codex_handoff_report.md,d597499babeb87eeb9ba081c4bfaf554a4d434c845cd0dd2aed3b05a0cd51d2d,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
