rung,block_m,community,n_units,slope,intercept,r,ci_lo,ci_hi,n_super_blocks,subset,metric,support_level,period_label,min_cells_filter,interval_basis,eu_note
2000 m,2000.0,aeolian,40,-0.005699803587049246,45.62504577636719,-0.004237897770498035,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
2000 m,2000.0,riverine,85,0.5064370632171631,38.254730224609375,0.5240356880382852,0.2559040187020251,0.7628719144013968,16.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
2000 m,2000.0,riverine,82,0.46516069769859314,39.087955474853516,0.48847882607708976,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
2000 m,2000.0,inland,198,0.57002854347229,44.48189163208008,0.7278921663524958,0.4187511182033926,0.7024162292526771,22.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
2000 m,2000.0,inland,188,0.5469087958335876,45.28630447387695,0.6903043204720881,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
4000 m,4000.0,aeolian,20,-0.2012092024087906,47.1563606262207,-0.12837003973387592,-0.9373743906580798,0.7540765275439933,10.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
4000 m,4000.0,aeolian,20,-0.2012092024087906,47.1563606262207,-0.12837003973387592,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
4000 m,4000.0,riverine,39,0.5397491455078125,37.66462707519531,0.506961075158635,0.11510975050848603,0.790443394285294,16.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
4000 m,4000.0,riverine,39,0.5397491455078125,37.66462707519531,0.506961075158635,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
4000 m,4000.0,inland,70,0.5060976147651672,45.06311798095703,0.6237364116171809,0.18767258321870917,0.7649304893401093,22.0,all,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
4000 m,4000.0,inland,67,0.4812706708908081,45.889671325683594,0.5813776274445132,,,,restricted to |GAM-OLS| <= 2.0 pp,veg_p05_temporal_mean,"pixel, aggregated to block x vegetation community",1988-2022 (35 water years),500,"spatial block bootstrap, 8 km super-blocks resampled with replacement, 2000 draws - NOT the block count, and NOT the Clifford-Richardson n_eff, which is derived for a mean",Ruling EU: an OLS ladder alone cannot separate a scale effect from aggregation-induced curvature bias. Read this beside the GAM ladder in SPAT1_ladder_gam.csv and beside the restricted rows here.
