control_kind,control_id,defined_in,ever_fired,firing_evidence_kind,fixture_proof,evidence
gate,CC_specs_from_biodiversity_session_20260730:Gate 4,docs/reference_update/Gayini_CC_specs_from_biodiversity_session_20260730.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/task_J_gate4_law_and_figures_20260718.md
gate,CC_specs_from_biodiversity_session_20260730:Gate 5,docs/reference_update/Gayini_CC_specs_from_biodiversity_session_20260730.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,DATA1:Gate 2,docs/reference_update/Gayini_CC_spec_DATA1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/temporal/TEMPORAL1_report.md
gate,DELIVER1:Gate 3,docs/reference_update/Gayini_CC_spec_DELIVER1.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,DIAG1:Gate 1,docs/reference_update/Gayini_CC_spec_DIAG1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/diag/EXEMPLAR1_report.md
gate,DIAG1:Gate 2,docs/reference_update/Gayini_CC_spec_DIAG1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/temporal/TEMPORAL1_report.md
gate,DIAG1:Gate 3,docs/reference_update/Gayini_CC_spec_DIAG1.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,EXEMPLAR1:Gate 0,docs/reference_update/Gayini_CC_spec_EXEMPLAR1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,EXEMPLAR1:Gate 1,docs/reference_update/Gayini_CC_spec_EXEMPLAR1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/diag/EXEMPLAR1_report.md
gate,EXEMPLAR1:Gate 2,docs/reference_update/Gayini_CC_spec_EXEMPLAR1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/temporal/TEMPORAL1_report.md
gate,EXEMPLAR1:Gate 3,docs/reference_update/Gayini_CC_spec_EXEMPLAR1.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,FIG2:Gate 1,docs/reference_update/Gayini_CC_spec_FIG2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/diag/EXEMPLAR1_report.md
gate,FIG2:Gate 2,docs/reference_update/Gayini_CC_spec_FIG2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/temporal/TEMPORAL1_report.md
gate,FIG2:Gate 3,docs/reference_update/Gayini_CC_spec_FIG2.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,HANDOFF1:Gate 0,docs/Audit/Gayini_CC_spec_HANDOFF1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,HANDOFF1:Gate A,docs/Audit/Gayini_CC_spec_HANDOFF1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,LID1_shippability_audit_spec:Gate E,docs/reference_update/Gayini_LID1_shippability_audit_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/tier2H_gateE_palette_audit.md
gate,LID1_shippability_audit_spec:Gate L1,docs/reference_update/Gayini_LID1_shippability_audit_spec.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,LID1_shippability_audit_spec:Gate L2,docs/reference_update/Gayini_LID1_shippability_audit_spec.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,LID1_shippability_audit_spec:Gate L3,docs/reference_update/Gayini_LID1_shippability_audit_spec.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,LID1_shippability_audit_spec:Gate L4,docs/reference_update/Gayini_LID1_shippability_audit_spec.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,LID1_shippability_audit_spec:Gate U5,docs/reference_update/Gayini_LID1_shippability_audit_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/LID1_gateL3_L4_recommendations.md
gate,MAP1:Gate 1,docs/reference_update/Gayini_CC_spec_MAP1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/diag/EXEMPLAR1_report.md
gate,METHODS_REG:Gate B,docs/reference_update/Gayini_CC_spec_METHODS_REG.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,METHODS_REG_v2:Gate B,docs/reference_update/Gayini_CC_spec_METHODS_REG_v2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,PACK1_RPTSCOPE_spec_20260802:Gate 0,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,PACK1_RPTSCOPE_spec_20260802:Gate D,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,PACK1_RPTSCOPE_spec_20260802:Gate E,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/tier2H_gateE_palette_audit.md
gate,PACK1_RPTSCOPE_spec_20260802:Gate P1,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,PACK1_RPTSCOPE_spec_20260802:Gate P2,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,PACK1_RPTSCOPE_spec_20260802:Gate P3,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,PACK1_RPTSCOPE_spec_20260802:Gate P4,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,PACK1_RPTSCOPE_spec_20260802:Gate R1,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,PACK1_RPTSCOPE_spec_20260802:Gate R2,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/RPTSCOPE_R2_write.md
gate,PACK1_RPTSCOPE_spec_20260802:Gate R3,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,PACK1_RPTSCOPE_spec_20260802:Gate R4,docs/reference_update/Gayini_PACK1_RPTSCOPE_spec_20260802.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,REG1_REG2_spec:Gate A,docs/reference_update/Gayini_REG1_REG2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,REG1_REG2_spec:Gate B,docs/reference_update/Gayini_REG1_REG2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,REG1_REG2_spec:Gate C,docs/reference_update/Gayini_REG1_REG2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,REG1_REG2_spec:Gate D,docs/reference_update/Gayini_REG1_REG2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,REPORT2:Gate 1,docs/reference_update/Gayini_CC_spec_REPORT2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/diag/EXEMPLAR1_report.md
gate,REPORT2:Gate 2,docs/reference_update/Gayini_CC_spec_REPORT2.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/temporal/TEMPORAL1_report.md
gate,REPORT2:Gate 3,docs/reference_update/Gayini_CC_spec_REPORT2.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,RETRO1:Gate A,docs/Audit/Gayini_CC_spec_RETRO1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,RETRO1:Gate B,docs/Audit/Gayini_CC_spec_RETRO1.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateB_annual_gap_series:Gate B,docs/change_reports/T10_gateB_annual_gap_series.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateB_annual_gap_series:Gate C,docs/change_reports/T10_gateB_annual_gap_series.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateB_annual_gap_series:Gate D,docs/change_reports/T10_gateB_annual_gap_series.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateC_residuals:Gate B,docs/change_reports/T10_gateC_residuals.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateC_residuals:Gate C,docs/change_reports/T10_gateC_residuals.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateC_residuals:Gate D,docs/change_reports/T10_gateC_residuals.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateD_register:Gate B,docs/change_reports/T10_gateD_register.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateD_register:Gate C,docs/change_reports/T10_gateD_register.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_gateD_register:Gate D,docs/change_reports/T10_gateD_register.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_v2_spec:Gate A,docs/reference_update/Gayini_T10_v2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T10_v2_spec:Gate B,docs/reference_update/Gayini_T10_v2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_v2_spec:Gate C,docs/reference_update/Gayini_T10_v2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T10_v2_spec:Gate D,docs/reference_update/Gayini_T10_v2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T11_v2_gateC:Gate A,docs/change_reports/T11_v2_gateC.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T11_v2_gateC:Gate B,docs/change_reports/T11_v2_gateC.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T11_v2_gateC:Gate C,docs/change_reports/T11_v2_gateC.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T11_v2_gateC:Gate D,docs/change_reports/T11_v2_gateC.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T11_v2_spec:Gate A,docs/reference_update/Gayini_T11_v2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T11_v2_spec:Gate B,docs/reference_update/Gayini_T11_v2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T11_v2_spec:Gate C,docs/reference_update/Gayini_T11_v2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T11_v2_spec:Gate D,docs/reference_update/Gayini_T11_v2_spec.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_closeout:Gate B,docs/change_reports/T12_closeout.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_closeout:Gate C,docs/change_reports/T12_closeout.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_closeout:Gate D,docs/change_reports/T12_closeout.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_dea_landcover_l3_extraction:Gate 0,docs/reference_update/T12_dea_landcover_l3_extraction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,T12_dea_landcover_l3_extraction:Gate A,docs/reference_update/T12_dea_landcover_l3_extraction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T12_dea_landcover_l3_extraction:Gate A0,docs/reference_update/T12_dea_landcover_l3_extraction.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,T12_dea_landcover_l3_extraction:Gate B,docs/reference_update/T12_dea_landcover_l3_extraction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_dea_landcover_l3_extraction:Gate C,docs/reference_update/T12_dea_landcover_l3_extraction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_dea_landcover_l3_extraction:Gate D,docs/reference_update/T12_dea_landcover_l3_extraction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_dea_landcover_l3_extraction:Gate E,docs/reference_update/T12_dea_landcover_l3_extraction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/tier2H_gateE_palette_audit.md
gate,T12_gate0_recon:Gate 0,docs/change_reports/T12_gate0_recon.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,T12_gate0_recon:Gate A,docs/change_reports/T12_gate0_recon.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T12_gate0_recon:Gate A0,docs/change_reports/T12_gate0_recon.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,T12_gate0_recon:Gate B,docs/change_reports/T12_gate0_recon.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateA:Gate A,docs/change_reports/T12_gateA.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T12_gateA:Gate A0,docs/change_reports/T12_gateA.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,T12_gateA:Gate B,docs/change_reports/T12_gateA.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateA:Gate C,docs/change_reports/T12_gateA.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateB:Gate B,docs/change_reports/T12_gateB.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateB:Gate C,docs/change_reports/T12_gateB.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateB:Gate D,docs/change_reports/T12_gateB.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateC:Gate C,docs/change_reports/T12_gateC.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateC:Gate D,docs/change_reports/T12_gateC.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateD:Gate C,docs/change_reports/T12_gateD.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_gateD:Gate D,docs/change_reports/T12_gateD.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_supply_and_gateA0:Gate 0,docs/change_reports/T12_supply_and_gateA0.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md
gate,T12_supply_and_gateA0:Gate A,docs/change_reports/T12_supply_and_gateA0.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T12_supply_and_gateA0:Gate A0,docs/change_reports/T12_supply_and_gateA0.md,0,"text-proximity (<=500 chars), NOT a verified rejection",,
gate,T12_supply_and_gateA0:Gate B,docs/change_reports/T12_supply_and_gateA0.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_v4_caveat_correction:Gate A,docs/change_reports/T12_v4_caveat_correction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T12_v4_caveat_correction:Gate B,docs/change_reports/T12_v4_caveat_correction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T12_v4_caveat_correction:Gate D,docs/change_reports/T12_v4_caveat_correction.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T13_gateA_part_flood:Gate A,docs/change_reports/T13_gateA_part_flood.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T13_gateA_part_flood:Gate B,docs/change_reports/T13_gateA_part_flood.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T13_gateB_measures:Gate A,docs/change_reports/T13_gateB_measures.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T1_gateB_dim_management_zone.md
gate,T13_gateB_measures:Gate B,docs/change_reports/T13_gateB_measures.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T13_gateB_measures:Gate C,docs/change_reports/T13_gateB_measures.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T13_gateB_measures:Gate D,docs/change_reports/T13_gateB_measures.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
gate,T13_gateB_measures:Gate E,docs/change_reports/T13_gateB_measures.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/tier2H_gateE_palette_audit.md
gate,T13_gateC_classification:Gate B,docs/change_reports/T13_gateC_classification.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/DOC1_gateC_figures_methods.md; docs/change_reports/T10_gateC_residuals.md
gate,T13_gateC_classification:Gate C,docs/change_reports/T13_gateC_classification.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,Output/audit/AUD1_gateA_inventory.md; docs/change_reports/T10_gateC_residuals.md
gate,T13_gateC_classification:Gate D,docs/change_reports/T13_gateC_classification.md,1,"text-proximity (<=500 chars), NOT a verified rejection",,docs/change_reports/PACK1_RPTSCOPE_gate0_recon.md; docs/change_reports/T10_gateC_residuals.md
