"scope","period","water_quartile","n_parts","x_lower","x_upper","residual_sd_sample","residual_sd_population","number_id","support_level","unit","period_label","weighting","estimand","cluster","source_sha256_first50","interval_status"
"inland","cropping_era",2,15,23.7356961538462,30.2211230769231,7.50746637970231,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","cropping_era",3,15,30.2211230769231,36.88925,3.52306060013181,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","cropping_era",4,15,36.88925,53.3137076923077,3.93385432994409,,,"pixel","part (paddock x community)","1988-2013","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","post_management",1,29,2.37424,19.16349,11.3156349088664,11.1188262450196,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","post_management",2,29,19.16349,27.16744,10.0232078536813,9.84887789685352,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","post_management",3,28,27.16744,42.7113,8.08047314675832,7.93486710987386,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"all communities","post_management",4,29,42.7113,83.87392,6.18780495760807,6.08018274854429,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","post_management",1,5,3.9967,6.7743,13.675725463742,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","post_management",2,4,6.7743,10.1643,6.13234303508913,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","post_management",3,4,10.1643,14.55304,5.53174550199229,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"aeolian","post_management",4,4,14.55304,27.6433,4.9328374201378,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","post_management",1,10,2.37424,18.70892,12.7864121199515,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","post_management",2,9,18.70892,21.77358,7.90326960508582,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","post_management",3,9,21.77358,34.66666,11.8585611673732,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"riverine","post_management",4,9,34.66666,52.87326,8.64222368890417,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","post_management",1,16,10.8969,26.87244,6.31962198130101,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","post_management",2,15,26.87244,38.72786,4.87785509069699,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","post_management",3,15,38.72786,52.96966,4.39468820573639,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"inland","post_management",4,15,52.96966,83.87392,4.83725478594214,,,"pixel","part (paddock x community)","2018-2022","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
