"set","row_type","scope","form","n","value","reference","delta","detail","cluster_note","support_level","unit","period_label","weighting","estimand","cluster","source_sha256_first50","interval_status"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","11","linear",35,0.16166463477722,0.161270968760519,0.000393666016701377,"slope with zone_fid 11 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","12","linear",70,0.160085062405086,0.161270968760519,-0.00118590635543309,"slope with zone_fid 12 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","13","linear",35,0.161952925201684,0.161270968760519,0.000681956441164783,"slope with zone_fid 13 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","14","linear",35,0.160971865489922,0.161270968760519,-0.00029910327059729,"slope with zone_fid 14 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","15","linear",35,0.162964046340619,0.161270968760519,0.00169307758010023,"slope with zone_fid 15 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","16","linear",70,0.163038379904154,0.161270968760519,0.00176741114363449,"slope with zone_fid 16 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","17","linear",35,0.16282327338499,0.161270968760519,0.00155230462447078,"slope with zone_fid 17 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","18","linear",105,0.161250341513679,0.161270968760519,-2.06272468404878e-05,"slope with zone_fid 18 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","19","linear",35,0.163515856351826,0.161270968760519,0.00224488759130703,"slope with zone_fid 19 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","20","linear",35,0.162425608137898,0.161270968760519,0.00115463937737867,"slope with zone_fid 20 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","21","linear",70,0.159090207624609,0.161270968760519,-0.00218076113590995,"slope with zone_fid 21 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","22","linear",35,0.160652146399838,0.161270968760519,-0.000618822360680976,"slope with zone_fid 22 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","23","linear",35,0.160601744744336,0.161270968760519,-0.000669224016182718,"slope with zone_fid 23 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","24","linear",70,0.161122916982829,0.161270968760519,-0.000148051777690311,"slope with zone_fid 24 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","25","linear",70,0.164321599691342,0.161270968760519,0.00305063093082261,"slope with zone_fid 25 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","26","linear",70,0.162139074815365,0.161270968760519,0.000868106054845663,"slope with zone_fid 26 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","27","linear",70,0.161277764565546,0.161270968760519,6.7958050267436e-06,"slope with zone_fid 27 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","28","linear",70,0.161140201569424,0.161270968760519,-0.000130767191095005,"slope with zone_fid 28 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","29","linear",35,0.162062149111729,0.161270968760519,0.000791180351210091,"slope with zone_fid 29 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","30","linear",35,0.162058560911893,0.161270968760519,0.000787592151373723,"slope with zone_fid 30 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","31","linear",105,0.161352031295881,0.161270968760519,8.10625353622751e-05,"slope with zone_fid 31 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","32","linear",70,0.161921789449881,0.161270968760519,0.000650820689362341,"slope with zone_fid 32 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","33","linear",35,0.163472920693047,0.161270968760519,0.00220195193252831,"slope with zone_fid 33 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","34","linear",35,0.162196078250146,0.161270968760519,0.000925109489626791,"slope with zone_fid 34 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","35","linear",35,0.161778662798899,0.161270968760519,0.000507694038379858,"slope with zone_fid 35 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","36","linear",35,0.163861247199625,0.161270968760519,0.00259027843910586,"slope with zone_fid 36 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","37","linear",105,0.163773181308436,0.161270968760519,0.00250221254791647,"slope with zone_fid 37 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","38","linear",105,0.161373334507727,0.161270968760519,0.000102365747207761,"slope with zone_fid 38 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","39","linear",70,0.160740024298051,0.161270968760519,-0.000530944462467625,"slope with zone_fid 39 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","40","linear",35,0.162047014073864,0.161270968760519,0.000776045313345186,"slope with zone_fid 40 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","41","linear",35,0.162146862910707,0.161270968760519,0.000875894150188156,"slope with zone_fid 41 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","42","linear",35,0.162287309706137,0.161270968760519,0.0010163409456182,"slope with zone_fid 42 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","43","linear",35,0.161357964032968,0.161270968760519,8.69952724487366e-05,"slope with zone_fid 43 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","44","linear",35,0.161612954239494,0.161270968760519,0.000341985478975376,"slope with zone_fid 44 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","45","linear",70,0.161448776894285,0.161270968760519,0.000177808133766,"slope with zone_fid 45 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","46","linear",35,0.161262327040516,0.161270968760519,-8.64172000281105e-06,"slope with zone_fid 46 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","47","linear",35,0.16161044935316,0.161270968760519,0.00033948059264069,"slope with zone_fid 47 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","48","linear",105,0.161335274528406,0.161270968760519,6.43057678871295e-05,"slope with zone_fid 48 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","49","linear",35,0.161626635853487,0.161270968760519,0.000355667092968082,"slope with zone_fid 49 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","50","linear",35,0.161387274389971,0.161270968760519,0.00011630562945189,"slope with zone_fid 50 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","51","linear",105,0.161280831860863,0.161270968760519,9.86310034353788e-06,"slope with zone_fid 51 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","52","linear",70,0.160945407449423,0.161270968760519,-0.000325561311096512,"slope with zone_fid 52 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","53","linear",70,0.160899448094597,0.161270968760519,-0.000371520665922165,"slope with zone_fid 53 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","54","linear",70,0.160915711648282,0.161270968760519,-0.000355257112237273,"slope with zone_fid 54 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","55","linear",105,0.159660730873042,0.161270968760519,-0.00161023788747733,"slope with zone_fid 55 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
"part-year (115 parts in 64 paddocks)","drop_one_cluster","56","linear",105,0.160555421802631,0.161270968760519,-0.000715546957888419,"slope with zone_fid 56 removed","clustered on the PADDOCK (zone_fid)","pixel","part-year (115 parts in 64 paddocks)","1988-2022","pixel-weighted by the unit's cell count","WITHIN-UNIT (unit fixed effects) - never a version of the between-unit slope","zone_fid","1427adc27f162a7e520b44ac98249e9ae66da7472f7747dc2d61c8a3221f0d0c","diagnostic - NOT registered, and nothing here is proposed for registration"
