"community","bin","n_cells","flood_freq_mean","mean_p05","mean_p50","gap_p50_minus_p05","binning","support_level","unit","period_label","weighting","estimand","cluster","source_sha256_first50","interval_status"
"Aeolian Chenopod Shrublands","3",8593,7.96928594649133,45.8504138637146,71.5428990973467,25.692485233632,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","4",6055,12.7097338701899,47.4443487682081,73.9960643174236,26.5517155492155,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","5",5159,18.2968169513472,52.0051896851134,76.7790156505137,24.7738259654003,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","6",2482,23.9008766116035,55.6925720169218,77.7585689726027,22.0659969556809,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","7",674,29.4365347581602,55.5048583115727,76.4246030059347,20.919744694362,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","8",480,34.7768237604167,50.06357778125,76.0793308020833,26.0157530208333,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","9",432,41.0915331435185,56.3699956435185,76.6883068055556,20.318311162037,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Aeolian Chenopod Shrublands","10",604,58.3407100463576,48.6446182086093,73.8160147483444,25.1713965397351,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[0,10)",127564,5.00629737030559,45.204735672631,76.7413275686479,31.5365918960169,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[10,20)",123590,14.7729619353548,55.2802179759002,80.3616853938344,25.0814674179343,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[20,30)",142382,25.1075737497156,60.9084386260272,82.463645562536,21.5552069365088,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[30,40)",165681,34.6975268062481,65.9547492019242,84.2559223781242,18.3011731762001,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[40,50)",86930,44.2444987717474,70.302932870459,86.2654406871506,15.9625078166916,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[50,60)",36722,54.4230279705626,76.1274383538478,87.6546257128697,11.5271873590218,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[60,70)",18756,64.3847204894434,77.5316538455428,88.0438138508211,10.5121600052783,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[70,80)",10944,74.2840596423611,77.1975159743238,88.4218374810855,11.2243215067617,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[80,90)",4324,84.6331698337188,76.9958190388529,89.5821751628122,12.5863561239593,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","[90,100]",734,91.7835903964578,78.4290517901907,90.8241051757493,12.3950533855586,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","1",41418,1.54690651614424,40.0545295900575,75.0509545349365,34.996424944879,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","2",35627,4.72545121748954,45.0222222234261,76.5264869138575,31.5042646904314,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","3",54493,8.20892367949094,49.6468426472483,78.2832129025196,28.6363702552713,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","4",68852,12.9130299809809,54.1687356607143,79.9641888936124,25.7954532328981,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","5",72218,18.4805271301199,57.2023781512088,81.1220677117755,23.9196895605666,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","6",79675,24.4873653689489,60.9184893260245,82.4790099483527,21.5605206223282,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","7",86555,30.0508924293455,62.9638241486569,83.156124884247,20.1923007355901,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","8",89988,35.0542852008268,66.3660150007001,84.4150911425635,18.0490761418634,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","9",92428,41.4011822812784,69.9411865324901,85.8680100023802,15.9268234698901,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Inland Floodplain Shrublands / Swamps","10",96373,58.6257475984456,74.975023372044,87.6414399147583,12.6664165427142,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","[0,10)",101387,3.79175207296532,38.8462352508507,72.0976169929478,33.2513817420971,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","[10,20)",41093,14.3824903902246,46.5479590717154,74.7293061859928,28.1813471142774,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","[20,30)",29833,24.4707173836356,50.230541554185,77.6612559652063,27.4307144110213,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","[30,40)",15927,34.4274570242356,54.4330412586802,80.0024584534438,25.5694171947636,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","[40,50)",4260,43.0243324814554,56.9489974086854,80.6534949549296,23.7044975462441,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","[50,60)",775,54.4745065729032,59.093741076129,77.5284239909677,18.4346829148387,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","[60,70)",340,63.8061340441176,61.4499005970588,78.3487622558823,16.8988616588235,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","[70,80)",43,73.164729255814,63.2263906046512,78.0293347209302,14.8029441162791,"fixed 10-point bins","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","1",49862,1.34628795195009,35.5383053969075,71.4717400646585,35.933434667751,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","2",28145,4.74069019838693,40.6891457585433,72.273019146669,31.5838733881258,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","3",25446,8.06401338884304,43.7267162870078,73.1927297568577,29.4660134698499,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","4",23976,12.7330508924132,46.0917858906824,74.3631154832749,28.2713295925926,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","5",21506,18.4264946228262,48.0244070019064,75.9323461376825,27.9079391357761,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","6",16725,24.3281595734529,50.4753487695067,77.7071995467265,27.2318507772197,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","7",11654,29.7725090283165,51.3519407310795,78.6318306207311,27.2798898896516,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","8",8415,35.1001047447415,55.2494355254902,80.4034191157457,25.1539835902555,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","9",6023,40.6178414688693,56.9834169526814,80.9295063966462,23.9460894439648,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
"Riverine Chenopod Shrublands","10",1906,54.0244812376705,57.8258101804827,78.1948369470094,20.3690267665268,"deciles of flood frequency","pixel","census cell (24.970268 m)","1988-2022","unweighted mean over cells","PER-CELL TEMPORAL percentile means by community and flood-frequency bin - seasonal basis (140 composites), NOT the annual series the regression uses","none","7297d5bcc45f6362370be6ebcce9002e216bc53dc3e382981b32ac4e73d0d0e1","diagnostic - NOT registered, and nothing here is proposed for registration"
