zone_fid,zone_name,treatment,published_share_cells_wet_mean_over_years_pct,veg_p05_spatial_published,veg_p05_temporal_mean,veg_p50_temporal_mean,n_cells,dominant_community,dominant_community_share_pct,difference_temporal_minus_spatial,TABLE_ONLY_NOTE,support_level,unit,period_label,weighting,y_basis
51,Dinan 3,14-day grazing,15.8,50.25,47.60441,75.13928,9590,Inland Floodplain Shrublands / Swamps,46.91345151199166,-2.6455917358398438,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
9,Bala 5,14-day grazing,16.18,66.44,51.189034,80.52817,24384,Inland Floodplain Shrublands / Swamps,91.25656167979002,-15.250966491699216,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
43,Mara 18,14-day grazing,17.16,71.82,47.612103,82.70981,3580,Inland Floodplain Shrublands / Swamps,100.0,-24.20789749145507,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
28,Mara 2,14-day grazing,17.23,61.95,50.776237,75.524734,1985,Inland Floodplain Shrublands / Swamps,57.48110831234256,-11.173762512207034,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
63,Dinan 4,14-day grazing,18.19,49.4,45.84005,71.9871,10879,Inland Floodplain Shrublands / Swamps,62.29432852284217,-3.559950256347655,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
27,Mara 1,14-day grazing,20.28,64.81,59.303215,82.59938,850,Inland Floodplain Shrublands / Swamps,69.17647058823529,-5.5067849731445335,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
62,Dinan 1,14-day grazing,21.15,56.71,52.989983,78.424355,12527,Inland Floodplain Shrublands / Swamps,80.1628482477848,-3.720017395019532,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
61,Dinan 11,14-day grazing,21.55,58.74,49.613457,77.08509,9556,Riverine Chenopod Shrublands,57.78568438677271,-9.126543273925783,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
53,Dinan 6,14-day grazing,21.9,62.47,51.340633,78.59097,6827,Inland Floodplain Shrublands / Swamps,88.1206972315805,-11.129366607666014,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
11,Bala 9,14-day grazing,23.39,64.98,51.566048,76.962296,4101,Inland Floodplain Shrublands / Swamps,100.0,-13.413952331542973,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
22,Bala 24,14-day grazing,23.75,70.43,64.757225,85.402405,5667,Inland Floodplain Shrublands / Swamps,100.0,-5.672774963378913,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
47,Mara 22,14-day grazing,24.31,68.04,60.56213,82.86937,6395,Inland Floodplain Shrublands / Swamps,100.0,-7.477870025634772,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
64,Dinan 5,14-day grazing,24.6,65.38,55.5198,79.45118,7078,Inland Floodplain Shrublands / Swamps,63.054535179429216,-9.860201721191402,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
14,Bala 15,14-day grazing,25.58,49.05,52.96939,76.3264,8475,Inland Floodplain Shrublands / Swamps,99.72861356932154,3.919390869140628,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
48,Mara 4,14-day grazing,25.72,68.2,64.42193,81.718575,950,Inland Floodplain Shrublands / Swamps,75.78947368421053,-3.778071594238284,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
8,Bala 4,14-day grazing,26.64,76.5,71.8309,85.62668,5578,Inland Floodplain Shrublands / Swamps,100.0,-4.669097900390625,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
15,Bala 17,14-day grazing,27.42,73.93,61.8669,79.40573,11970,Inland Floodplain Shrublands / Swamps,100.0,-12.063098602294929,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
58,Dinan 13,14-day grazing,27.99,52.95,41.05904,76.109634,20212,Riverine Chenopod Shrublands,57.85671878092222,-11.890959930419925,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
17,Bala 19,14-day grazing,29.15,73.09,60.087364,81.06156,13332,Inland Floodplain Shrublands / Swamps,100.0,-13.00263580322266,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
46,Mara 20,14-day grazing,29.66,72.23,53.269184,81.634026,2397,Inland Floodplain Shrublands / Swamps,100.0,-18.960815887451176,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
2,Bala 27ca,No grazing,29.69,68.01,59.904243,81.73009,23908,Inland Floodplain Shrublands / Swamps,100.0,-8.105756530761724,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
30,Mara 10,14-day grazing,29.9,73.75,60.830124,81.78701,3992,Inland Floodplain Shrublands / Swamps,100.0,-12.919876098632812,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
13,Bala 13,14-day grazing,30.29,74.24,61.4781,82.71624,12762,Inland Floodplain Shrublands / Swamps,100.0,-12.761900177001948,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
52,Dinan 2,14-day grazing,30.55,69.35,67.389206,85.19695,13883,Inland Floodplain Shrublands / Swamps,92.36476265936757,-1.9607940673828068,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
31,Mara 13,14-day grazing,30.77,69.05,61.654305,80.54498,1835,Riverine Chenopod Shrublands,54.713896457765664,-7.395695495605466,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
40,Mara 15,14-day grazing,30.93,75.28,62.72559,83.88091,16594,Inland Floodplain Shrublands / Swamps,100.0,-12.554410247802736,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
42,Mara 17,14-day grazing,31.21,77.74,65.07351,85.0215,4586,Inland Floodplain Shrublands / Swamps,100.0,-12.666490783691401,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
37,Mara 7,14-day grazing,31.35,73.2,63.693684,83.2346,14876,Inland Floodplain Shrublands / Swamps,91.25436945415434,-9.506316375732425,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
25,Bala 8/11,14-day grazing,31.97,72.07,61.789898,82.10898,24880,Inland Floodplain Shrublands / Swamps,99.80305466237942,-10.280102081298821,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
23,Bala 25,14-day grazing,32.38,68.94,64.00511,84.69225,9115,Inland Floodplain Shrublands / Swamps,100.0,-4.93488830566406,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
29,Mara 3,14-day grazing,32.97,73.23,60.275543,81.174675,5295,Inland Floodplain Shrublands / Swamps,99.98111425873466,-12.954456787109379,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
35,Mara 9,14-day grazing,33.55,74.95,65.549484,82.97928,4952,Inland Floodplain Shrublands / Swamps,100.0,-9.400515747070315,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
24,Bala 7/10,14-day grazing,35.37,74.63,70.83139,85.83907,3981,Inland Floodplain Shrublands / Swamps,98.91986937955288,-3.7986096191406205,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
