"patch_id","community_short","n_cells","mean_share_cells_wet","veg_p05_temporal_mean","zoned_predicted","descriptive_offset_pp","offset_note"
"U0521","riverine",663,18.478777,47.45587,47.9068614498846,-0.450991449884619,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0571","riverine",1851,19.902756,59.914692,48.788582936046,11.126109063954,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0221","inland",2298,19.924158,64.60124,54.8183200323111,9.78291996768894,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0238","inland",5007,20.139805,48.747925,54.9217642758261,-6.17383927582609,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0101","inland",2033,20.178482,50.550056,54.9404046994765,-4.39034869947646,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0192","inland",954,21.021263,54.12625,55.3544169195594,-1.22816691955943,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0380","inland",1379,21.09396,51.457565,55.3909269807943,-3.93336198079432,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0508","riverine",3568,21.85458,51.87128,50.8877927768712,0.983487223128797,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0158","inland",2781,21.989008,57.17664,55.8532034001074,1.32343659989262,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0464","inland",678,23.881163,49.076252,56.9310425229497,-7.85479052294973,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0107","inland",1943,24.973164,50.289883,57.6834673303857,-7.39358433038574,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0248","inland",2090,25.72659,65.70051,58.3453272187079,7.35518278129212,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0246","inland",1189,26.247746,63.785736,58.8394678662194,4.94626813378063,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0109","inland",930,26.795698,60.059605,59.3635480026107,0.696056997389277,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0205","inland",1001,27.489653,48.60634,59.9948008917747,-11.3884608917747,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0186","inland",894,28.9837,50.284256,61.0783346284022,-10.7940786284022,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0104","inland",3921,31.243486,59.8522,62.5225820149956,-2.6703820149956,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0105","inland",1087,31.66776,62.546623,62.7721452488323,-0.225522248832263,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0347","inland",2979,32.27929,66.729744,63.091960251047,3.63778374895302,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0235","inland",2419,32.578987,63.656586,63.2464194981831,0.410166501816938,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0214","inland",3218,34.67282,64.36848,64.7336255509984,-0.365145550998378,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0163","inland",1473,40.465523,70.05533,69.0081854684036,1.04714453159637,"DESCRIPTIVE OFFSET from the zoned display smoother; not a residual, not a test"
"U0563","riverine",503,41.249645,57.182034,NA,NA,"outside the zoned water range for this community - no comparison, not extrapolated"
