path,bytes,checksum_sha256_first50mb,task,period_label,support_level,land_use_label,checksum_convention,manifest_rule
Output/unzoned/UNZONED_v3_armB_between_fits.csv,5731,14aeaf54ae449750f01d43af7dafad9130ff3bf5703d173ace8909ed2053630c,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_between_residuals.csv,8574,948b73d1897f1082461430e3168ab6a744a3468c1f711762e338eb5303a3eb6c,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_community_comparison.csv,389,ae408c7c7f5f8731bbe0c8c121a6bdb95c765743c2e65bb040b845d4eec60a64,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_corroboration.csv,1279,33976bf44400ee8355612861d4fb761474e3f26160d4a549b5c48ae6d8c48d22,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_inland_size_quartiles.csv,1004,08ef14b551e1814a0ba5c353beeb418bbce5f1d2d8b5fee549c447af2970af7f,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_patch_year.csv,380140,a5f17ea6db8694a0ed48564ddb6c0c3921551108227ec83c2876b48cddeb779b,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_per_patch_slopes.csv,18054,9df4fed2cbc3f5171592f43d8735b18adfd8891def3b4299bfab6fc3c8e48fe3,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_predictions.csv,2430,378a9c4c162eb3e80fc959b69a76f312768b7e36387f015134e416a6865924ac,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_serial_correlation.csv,280,b6e62045aa95597a6e9f83bd553c9c3aacc45f2b29364d279b7c47e85753c069,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_size_range_support.csv,1585,c345779ba92783046e4ad9b02f832f0c5af65d9bc924a82df5c4ff02c8513dc5,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_slope_distribution.csv,898,d8d0c5cb8399e5512dcce88dac6928170cfd8dcdb85cb8f5dc9001c640d65cf8,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_armB_within_fits.csv,2849,16599b21ddf8394b498ddbe512415cf825f51318b024cd1b6870fafb68b34bb0,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_EK_ar1_both_sides.csv,1465,5d2b6a7b9a35c8960e661dd0cfed73a733e02e1ced49fdbb196e69488a78c0ab,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_plot_overlay_summary.csv,772,611736d7bdefd5d2b50427ffc89e029c13f3cdcf48075179216f5997475abb3c,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_size_robustness.csv,5451,3da9b7ecc8eec0500e430cf6fd864f9d334eed0a8e42f3ea827b2695db3b5135,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_data_dictionary.md,7860,11aa03d2de2af49925ed1839d552ac96d08608c9ed22e405eb8eb6f64c7b5769,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_v3_findings_note.md,16362,5e4d30df5da3c67ab5f8f537958534da7cebb4ec230f3683df5e0be2f052c3d9,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/unzoned/UNZONED_patches_epsg8058.gpkg,1306624,740676e12cb06b40f57f7c88bbaafecb0173661c864f19b259fec565aab43dbf,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/figures/unzoned/UNZONED_A1_unzoned_patches_temporal_p05_vs_water.png,207450,278811189816dee0af7279d9a1f55ddea83ef7a7a5331a8d95febbff22f5910c,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
Output/figures/unzoned/UNZONED_A2_zoned_and_unzoned_temporal_p05_vs_water.png,260900,90d1ac521fa9124ae9c9046abae0190088a737cc0e0cfac8a87a83d20395e635,UNZONED v3,1988-2022 (35 water years),"pixel (except UNZONED_v3_plot_overlay_summary.csv, plot ~1 ha)",unzoned standard-grazing country,"first-50-MB SHA-256, the project's single convention","every table the findings note asserts from is listed here, including the community-slope coefficients - the PARTREG pack omitted exactly those and section 6 says it must not repeat"
